player;minutes;Pases;Shot_Assist;Assist;Centros_Area;Porc_Pase;Regates_Int;Regates_Comp;Recuperaciones;Despejes;Perdidas;Errores;Tiros;xG_per_90;Goles;position;Pases_perc;Shot_Assist_perc;Assist_perc;Centros_Area_perc;Porc_Pase_perc;Regates_Int_perc;Regates_Comp_perc;Recuperaciones_perc;Despejes_perc;Tiros_perc;xG_per_90_perc;Goles_perc;Perdidas_perc;Errores_perc
Senad Lulić;2355;59.0828025477707;0.1146496815286624;0.1146496815286624;0.1146496815286624;77.10219922380335;2.828025477707006;1.414012738853503;8.445859872611466;1.10828025477707;1.987261146496815;0.0382165605095541;0.7261146496815286;0.0544587948535031;0.0;DF;83.93854748603351;21.493027071369976;44.43021766965429;21.091811414392062;37.5;81.21934127540294;78.24858757062147;99.09217877094972;35.80419580419581;41.76594253679047;42.39663629992992;0.0;24.22752808988764;68.56368563685638
Felipe Anderson Pereira Gomes;2066;46.56824782187803;0.1742497579864472;0.1306873184898354;0.217812197483059;68.6623012160898;5.837366892545983;2.744433688286544;7.057115198451114;0.6969990319457889;3.092933204259438;0.0;2.1781219748305904;0.2176800215619554;0.0;FW;55.237430167597765;31.33716160787531;50.70422535211267;34.16046319272126;9.706703910614525;98.458304134548;97.38700564971752;93.92458100558659;23.426573426573427;81.49964961457603;81.42957252978276;0.0;5.266853932584269;0.0
Marco Parolo;2557;42.870551427454046;0.0;0.1055924912006257;0.0351974970668752;79.14614121510674;0.5279624560031287;0.3519749706687524;4.399687133359405;2.2526398122800155;0.6687524442706296;0.0351974970668752;1.9710598357450135;0.1798257264110285;0.0;MF;44.97206703910614;0.0;41.74135723431498;3.2258064516129035;46.438547486033514;21.02312543798178;23.23446327683616;41.20111731843575;58.95104895104895;76.7344078486335;76.94463910301332;0.0;68.18820224719101;75.06775067750678
Dušan Basta;1815;64.7603305785124;0.0;0.0;0.0991735537190082;80.09188361408881;1.2396694214876034;0.5454545454545454;6.3966942148760335;1.7851239669421488;1.0413223140495866;0.0495867768595041;0.5454545454545454;0.0286218013884297;0.0;DF;90.9217877094972;0.0;0.0;19.520264681555005;50.418994413407816;47.09180098107919;37.92372881355932;87.08100558659217;50.83916083916084;30.798878766643305;23.405746320953046;0.0;51.68539325842696;43.36043360433605
Santiago Juan Gentiletti Selak;1710;59.42105263157895;0.0;0.0;0.0;85.56244464127548;0.5789473684210527;0.368421052631579;5.631578947368421;3.31578947368421;0.2105263157894737;0.0;0.5263157894736842;0.0403695259473684;0.0;DF;84.35754189944133;0.0;0.0;0.0;69.20391061452514;23.37070777855641;24.78813559322034;71.7877094972067;73.42657342657343;29.432375613174493;33.56692361597757;0.0;89.39606741573033;0.0
Filip Đorđević;1286;23.654743390357694;0.1399688958009331;0.0;0.0;71.59763313609467;0.6998444790046656;0.2799377916018662;3.4992223950233283;1.3297045101088647;0.979782270606532;0.0;1.3996889580093312;0.2013683275427683;0.0;FW;5.9357541899441335;25.8408531583265;0.0;0.0;17.527932960893853;27.890679747722494;16.666666666666668;18.226256983240223;41.53846153846154;63.34968465311843;79.5374912403644;0.0;54.14325842696629;0.0
Miroslav Klose;1351;21.117690599555885;0.3997039230199852;0.0;0.0;65.61514195583597;1.9319022945965951;0.7994078460399704;2.7979274611398965;1.1324944485566246;0.932642487046632;0.0;1.998519615099926;0.3864692490821614;0.0;FW;3.282122905027933;49.958982772764564;0.0;0.0;5.237430167597765;66.36299929922914;53.10734463276836;7.262569832402234;36.36363636363637;77.29502452697967;93.27259985984583;0.0;56.03932584269663;0.0
Ogenyi Eddy Onazi;1183;52.41758241758242;0.0760777683854607;0.0760777683854607;0.0;82.00290275761974;1.2933220625528317;0.8368554522400676;6.846999154691463;1.6737109044801353;0.9129332206255284;0.0;0.9129332206255284;0.0520088692899408;0.0;MF;72.13687150837988;13.822805578342905;30.153649167733676;0.0;58.65921787709497;48.773651016117725;55.50847457627119;92.0391061452514;49.02097902097903;50.035038542396634;40.574632095304835;0.0;56.741573033707866;0.0
Manuel Pucciarelli;3123;30.489913544668585;0.0864553314121037;0.1440922190201729;0.0576368876080691;80.90737240075615;1.7867435158501443;0.9221902017291066;3.717579250720461;0.02881844380403458;1.7867435158501443;0.0288184438040345;1.671469740634006;0.1931932981556195;0.0;FW;16.340782122905026;16.488925348646433;53.905249679897565;9.67741935483871;53.910614525139664;62.508759635599155;59.95762711864407;24.441340782122904;0.06993006993006994;69.72669936930623;78.48633496846531;0.0;28.79213483146067;94.3089430894309
Riccardo Saponara;2727;39.66996699669967;0.33003300330033;0.0;0.0;74.5424292845258;3.960396039603961;2.0792079207920797;4.488448844884489;0.693069306930693;2.64026402640264;0.0;2.4092409240924093;0.2270677171584158;0.0;MF;35.824022346368714;45.939294503691556;0.0;0.0;26.606145251396647;92.22144358794674;90.60734463276836;43.365921787709496;23.21678321678322;86.37000700770848;82.13034337771549;0.0;11.025280898876403;0.0
Mário Rui Silva Duarte;3324;64.11552346570397;0.0541516245487364;0.0;0.0270758122743682;81.63006756756756;1.1371841155234657;0.5685920577617328;5.063176895306859;2.815884476534296;0.5685920577617328;0.0541516245487364;0.7851985559566786;0.0221643515767148;0.0;DF;90.43296089385474;8.613617719442166;0.0;0.0827129859387924;56.98324022346368;43.79817799579537;39.05367231638418;57.47206703910614;67.62237762237763;44.84933426769446;17.379117028731603;0.0;72.08567415730337;39.024390243902445
Vincent Laurini;1944;52.407407407407405;0.0;0.0;0.0;84.80565371024736;0.7407407407407408;0.4166666666666666;4.814814814814815;3.333333333333333;0.8796296296296297;0.0;0.1388888888888889;0.0143843945833333;0.0;DF;71.9972067039106;0.0;0.0;0.0;67.73743016759776;29.9229152067274;28.8135593220339;51.04748603351955;73.63636363636364;2.6629292221443586;10.301331464611073;0.0;58.70786516853932;0.0
Marcel Büchel;1577;50.56436271401395;0.0570703868103994;0.1712111604311984;0.0570703868103994;81.60270880361173;1.6550412175015852;1.0272669625871909;5.821179454660748;1.3126188966391883;1.5409004438807865;0.0;2.0545339251743817;0.0663708930437539;0.0;MF;67.45810055865921;9.269893355209188;59.53905249679897;9.594706368899917;56.564245810055866;58.093903293622986;63.983050847457626;75.83798882681563;40.97902097902098;78.48633496846531;48.63349684653118;0.0;36.09550561797752;0.0
Andrea Costa;2091;59.56958393113343;0.0;0.0;0.0;85.98265895953757;0.1291248206599713;0.0860832137733142;4.131994261119082;5.4232424677187945;0.0860832137733142;0.0;0.3012912482065997;0.0343456044017216;0.0;DF;85.0558659217877;0.0;0.0;0.0;70.4608938547486;3.994393833216538;3.389830508474576;34.63687150837988;88.8811188811189;12.053258584442887;29.081990189208128;0.0;96.98033707865169;0.0
Leandro Daniel Paredes;2483;75.64639548932743;0.0362464760370519;0.0362464760370519;0.0;81.88787733588883;1.594844945630286;1.0873942811115584;7.466774063632702;1.2686266612968184;0.833668948852195;0.0362464760370519;1.9210632299637536;0.0368480375521546;0.0;MF;97.06703910614524;3.1993437243642333;4.99359795134443;0.0;58.17039106145251;57.11282410651717;67.090395480226;96.64804469273743;39.79020979020979;75.40294323756132;30.41345480028031;0.0;60.53370786516854;72.08672086720867
Daniele Croce;1880;42.75;0.0478723404255319;0.0478723404255319;0.0;85.1063829787234;2.393617021276596;0.8617021276595744;5.696808510638298;0.4308510638297872;1.675531914893617;0.0;0.5744680851063829;0.0439199272340425;0.0;MF;44.55307262569832;7.054963084495489;13.316261203585148;0.0;68.29608938547486;75.6832515767344;56.99152542372882;73.04469273743017;11.60839160839161;32.725998598458304;35.529081990189205;0.0;31.530898876404493;0.0
